1 17.4
2 -3.16
3 -5.44
4 5.76
5 3.34
6 13.68
7 6.02
8 -4.04
9 -11.24
10 3.12
11 -7.54
12 -15.96
13 -3.78
14 14.34
15 12.2
16 -8.24
17 -43.96
18 13.42
19 -7.94
20 -9.62
21 0.02
22 15.86
23 3.98
24 -25.3
25 -4.24
26 22.14
27 -0.5
28 18.78
29 45.48
30 6.44
31 -18
32 21.06
33 -4.14
34 7.3
35 -14.26
36 -1.18
37 -29.16
38 40.18
39 -20.44
40 3.48
41 1.18
42 -12.4
43 0.72
44 -3.24
45 -15.94
46 1.5
47 1.82
48 -5.34
49 -21.9
50 -25.98
51 22.08
52 -23.34
53 -8.08
54 18.12
55 -6.92
56 5.3
57 11.6
58 26.42
59 29.28
60 -16.92
61 -4.14
62 -9.26
63 -4.12
64 0.02
65 10.54
66 -12.68
67 32.14
68 26.82
69 -9.78
70 -2.6
71 6.54
72 16.08
73 14.44
74 -1.38
75 10.44
76 -21.08
77 -24.1
78 -15.2
79 13.9
80 -26.6
81 33.2
82 -5.78
83 -9.6
84 -23.4
85 3.56
86 2.02
87 -38
88 3
89 24.7
90 -13.84
91 0.02
92 11.32
93 -21.08
94 -8.2
95 -5.48
96 4.1
97 0.86
98 20.94
99 17.86
100 -4.82
