0       0.65215      0.824492
1      0.585688       0.53688
2     0.0322176      0.949234
3      0.146035      0.978899
4      0.987466      0.172766
5      0.380223      0.449084
6      0.542932     0.0737715
7      0.861153      0.528204
8      0.797005      0.852052
9      0.828147      0.113577
10      0.670961      0.124891
11      0.238747      0.768019
12      0.423614       0.13342
13      0.248514      0.471507
14      0.220671      0.699379
15      0.124825      0.578639
16      0.587349      0.146024
17      0.738293      0.856275
18     0.0136192      0.236982
19      0.196823     0.0420451
20      0.877096      0.604852
21      0.960901      0.458875
22      0.157833      0.717518
23      0.129103     0.0953591
24    0.00753635      0.213131
25      0.390768      0.187268
26      0.374321      0.442252
27      0.445595      0.901305
28      0.750931      0.773968
29      0.180742      0.136542
30      0.293246       0.10702
31      0.424622      0.848715
